,reviewtext,reviewdate,reviewrating,reviewview,reviewlikes,Links,brand
1,"Fantastic tuned engine, hi-tech entertainment system, great build quality, comfortable seats and decor, first time ever air filters in the car and brilliant suspension. I...Read More"," Dec 11, 2019  ",4, 246 Views,NA,https://www.cardekho.com/kia/seltos,Kia
2,Most popular car in the world because of looks. Its look is very good and has many features that contain In-car 50-liter storage to fill tanks and many features. This car...Read More," Dec 11, 2019  ",5, 33 Views,NA,https://www.cardekho.com/kia/seltos,Kia
3,"I just bought the one but the mileage of the car is not satisfactory. It doesn't give more than 12km/ltr.
"," Dec 11, 2019  ",4, 5 Views,NA,https://www.cardekho.com/kia/seltos,Kia
4,"New in the Indian market, Kia Seltos is everything that one needs in a mid-size SUV. Value for money, indeed.
"," Dec 11, 2019  ",4, 3 Views,NA,https://www.cardekho.com/kia/seltos,Kia
5,"Good car with the futuristic and latest tech, appealing to masses especially gen x,y, and z. Looks sturdy, has road presence and a differentiator when runs on the road, a...Read More"," Dec 11, 2019  ",4, 19 Views,NA,https://www.cardekho.com/kia/seltos,Kia
6,"Kia Seltos is the one in a class after much-awaiting finally release this car with all the most useful features. Kia Seltos the car with ease. The vehicle drives very smooth and you can get very attached and comfortable within its first 5 seconds of the drive. Interior is refreshing, the led wall is a gem. Smooth drive brings you comfort. Looks are...Read More"," Dec 09, 2019  ",5, 428 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
7,"Kia Seltos is a very spacious car and the interiors are awesome. Very good ground clearance is very good. Seating capacity is 5, engine power is boosted. The pick up is very good. Mileage is ok.
Read More"," Dec 08, 2019  ",4, 551 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
8,"Excellent Features and at par with luxury cars like BMW and Benz etc. I was using Ford Ecosport which was much stronger than Kia Seltos. Transmission temperature increases and you are forced to stop in traffic. Except for the strength and heaviness of the car, looks-wise It is very elegant.
Read More"," Dec 08, 2019  ",4, 72 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
9,"Looking nice and has a good performance as well. One of the best SUV of the current time, autonomous and voice control are amazing.
"," Dec 08, 2019  ",5, 20 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
10,"Very good car in terms of technology and ride experience, but if it was fuel electric it would have been much better.
"," Dec 08, 2019  ",5, 33 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
11,"This car is really very good at having a very excellent performance. I love this car because of its awesome interior and very good features at very low rates.
"," Dec 08, 2019  ",5, 20 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
12,"Perfect car of the year loved all its features in this car. No car can beat the accessories the technology provided in this car.
"," Dec 08, 2019  ",5, 13 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
13,"Excellent features are loaded like premium cars. The look is great and awesome Cost is very competitive in the SUV segment.
"," Dec 08, 2019  ",5, 14 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
14,"This car is just amazing with a bunch of features and this is the best in-car segment, it is just amazing for youngsters.
"," Dec 08, 2019  ",4, 13 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
15,"The interior and exterior are very nice and beautiful.
"," Dec 08, 2019  ",5, 14 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
16,I am a big fan of Kia. When I was in South Korea my brother bought a Kia optimum. When Kia launched its first car Seltos in India. I bought that. And I am very happy to buy this car. Its mileage is OMG! Very very good. The pickup is very good. It's very smooth. It looks very sharp. And it is as comfortable as a Jaguar. And successfully it is the to...Read More," Dec 08, 2019  ",5, 671 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
17,I like every part of the Kia Seltos as the seats are very comfortable. The look is superb. The speedometer is stylish. The red colour is best Kia Seltos has multiple engine options as I want. This car is available in petrol as I want a petrol car. All engine has an automatic gearbox. The car has air purifier Car has a Bose sound system. Connect car...Read More," Dec 07, 2019  ",5, 477 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
18,It's the best car in the price range and gives me the phenomenal performance that an SUV owner wants. It's my pleasure to have a Kia in my house. This car has an outstanding fuel economy compared to other car. The car comes with a good dynamic look and with outstanding features that will help you in your daily life. The car comes with a sunroof tha...Read More," Dec 08, 2019  ",5, 42 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
19,"Great features the car has. Amazing mileage and great performance.
"," Dec 08, 2019  ",5, 12 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
20,"Well, this car is one of the best premium SUVs you can buy today, with features like air purification and the mirrors that show the side view of the car for an added layer of safety. It's the best mid-sized SUV you can buy. Interiors give it a premium look, and yes drives like a charm.
Read More"," Dec 08, 2019  ",5, 21 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
21,"Kia Seltos is the best in class, comparatively, it's not a box, the base variant is also carrying all necessary features. The music system and multifunction steering are available in all models.
Read More"," Dec 07, 2019  ",5, 130 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
22,"It comes with awesome features. Its automatic gear shifting is smooth and seats are very comfortable. All windows are also automatic. 
"," Dec 07, 2019  ",5, 56 Views,1,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
23,"This is a car I was looking for and the features of this car are amazing. It's comfortable on Indian roads. This car has every feature, which an ideal car should have. Not only the interior is great, but the exterior is also commendable.
Read More"," Dec 07, 2019  ",5, 401 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
24,"The car looks like a beast and the engine power is great, the Bose sound system is top-notch, and the 360-degree camera view is very helpful.
"," Dec 07, 2019  ",4, 44 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
25,"According to me, Kia Seltos is best. Best in Comfortable, best in mileage, best in look. In short, an amazing car.
"," Dec 07, 2019  ",5, 24 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
26,"Superb sound quality sound system and excellent future car. Mind-blowing look, low price best design. Segment 1st Smart Heads-Up Display. World's 1st SmartPure Air Purifier. Bose Premium Sound System with 8 speakers & LED Sound Mood lights with straight Line designs and World-Class Quality.
Read More"," Dec 06, 2019  ",5, 766 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
27,The look is best. And the interior is awesome And technology is mind-blowing by comparison to another car like MG Hector and others. The engine power of the KIA Seltos is best. And the drive is very smooth. The KIA Seltos have soo much Space for comfort setting.  And also have soo much function on the dashboard. The dashboard of the KIA Seltos is f...Read More," Dec 06, 2019  ",5, 416 Views,1,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
28,"Great car in the SUV segment and worth buying. The interior looks top-notch. Also, you get a smooth feeling while driving. I did a test drive and it feels wonderful. Highly recommended.
Read More"," Dec 07, 2019  ",5, 1556 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
29,"Awesome car, with best in class, Bose music system and the front grill of the car is also amazing along with the day time running LED.
"," Dec 07, 2019  ",5, 58 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
30,"This car looks amazing and also has a 360-degree camera view, which is very rare.
"," Dec 07, 2019  ",5, 39 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
31,"The smoothest experience I have ever had was in this car. So much of class and performance in this car I just loved it.
"," Dec 06, 2019  ",5, 39 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
32,"Kia is the best car that is safe & smooth. Available at the best price.
"," Dec 06, 2019  ",5, 32 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
33,"Awesome car with a Bose music system. Far better than Hyundai's Creta. Great riding experience with KIA and within the budget.
"," Dec 06, 2019  ",4, 30 Views,1,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
34,"Amazing driving experience being a cousin of Hyundai, Kia gives more money value but MG has better space and features.
"," Dec 06, 2019  ",4, 28 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
35,"Amazing features, excellent road presence with safety features and comfort within the budget.
"," Dec 06, 2019  ",5, 29 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/2,Kia
36,"The car looks amazing, The DRL's are attractive and the touch screen display has a really good response; but the car couldn't get 5 stars as the speedometer and the touch display could be more stunning which would upgrade the interior to a whole another level; Even though the dual-tone interior is interesting. The design of the car will stand out a...Read More"," Dec 05, 2019  ",4, 782 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
37,"Amazing experience, however, a bit expensive when compared to MG Hector. It is very spacious and is affordable.
"," Dec 05, 2019  ",4, 54 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
38,"Great car with multiple features. Highly recommended.
"," Dec 06, 2019  ",5, 32 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
39,"It's a good product from Kia. It is a great allrounder in all aspects. It's a clear rival for segment leader Creta. Seltos is a great car, balancing pocket and commendable performance. Even it proved that it's far better than India's most awaited SUV Hector from MG motors. Ultimately its a great start to Kia in India.
Read More"," Dec 05, 2019  ",5, 82 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
40,"Kia Seltos is an awesome car with a great look. Also, getting average mileage in this vehicle.

 
"," Dec 05, 2019  ",4, 46 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
41,"Kia Seltos is the Beautiful Compact SUV. It is the best car in the 10 lac budget range.
"," Dec 05, 2019  ",5, 37 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
42,"Car is very comfortable and has classy looks. I have purchased Kia Seltos GTX+ DCT in the month of October from Pune dealer. I have been around for three weeks. But since the very first day, I noticed a very annoying sound coming from rear of the vehicle. I have tried all possible things like removing all lose attachments and items from the car but...Read More"," Dec 05, 2019  ",5, 136 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
43,"Pickup and mileage are amazing. The comfort level up to the mark.
"," Dec 05, 2019  ",5, 44 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
44,"One of the best cars in 2019 by Kia. Features in the car are amazing.
"," Dec 05, 2019  ",4, 47 Views,1,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
45,"Great looks and amazing transmission features. Aux, A.C., and rear parking camera are wonderful.
"," Dec 05, 2019  ",5, 43 Views,1,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
46,"NO ONE CAN FIND A BETTER SUV THAN KIA SELTOS. ITS AMAZING LOOKS AND BODY ALIGNMENT ARE SOO GOOD AND TOUGH. INTERIORS ARE BEST OF ITS CLASS. I WOULD RECOMMEND YOU TO BRING HOME KIA SELTOS AND HAVE FUN LONG TRIPS WITH YOUR FAMILY. IT'S BEST WHEN ITS COMES TO ALL-TERRAIN, SO GIVE YOUR FAMILY A PLEASURE OF RIDING A GOD OF CHARIOTS.
Read More"," Dec 04, 2019  ",5, 1133 Views,2,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
47,"Kia Seltos is an awesome car from my experience. Good for long routes and quite spacious with comfort and relief. Happy with features of the car. Family and friends appreciated my choice and also wants always to ride my car.
Read More"," Dec 04, 2019  ",5, 246 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
48,"The car is awesome. I bought the Seltos 1.4T GTX Plus Manual and the engine & gearbox are really smooth which delivers an unbelievable power. The cabin of the car is so well built that all the buttons and switches are at your fingertips. 360-degree camera, Blindspot view, Bose speakers, Ventilated seats and HUD makes the car superb. NVH levels are ...Read More"," Dec 05, 2019  ",5, 292 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
49,"Kia Seltos the best automotive made by Kia. It has a 7.5 to 8.1inch screen which provides car information and navigation. There is also a head-up display through which you can get essential information such as speed. It is a good car in terms of safety which carries 4 airbags in the top variant. Even in the low variant, the safety measures are amaz...Read More"," Dec 04, 2019  ",5, 60 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
50,"DON'T BUY SELTOS:

1=WASTE OF TIME AND MONEY.

2=COST WISE HIGH-QUALITY WISE LOW.

3=MILEAGE TOO LOW.

4=I'M BUYING A GTX 7 DCT AUTOMATIC TRANSMISSION PETROL AS I HAD A LOT OF TROUBLE IN MY VEHICLE.

FAULT CAN START IN BELOW MENTIONED FACTORS:

1, A.C. NOT WORKING AS WELL.

2, THE BRAKING SYSTEM IS OLDER THEN AMBASSADOR.

3, MILEAGE IS BELOW 12 KM ...Read More"," Dec 04, 2019  ",1, 2591 Views,4,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
51,"Very nice car and superb features. It looks amazing and gives a feel which is quite comfortable.
"," Dec 04, 2019  ",5, 43 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
52,"It's an amazing experience as the drive is very much comfortable. It has many features to entertain and gives a wonderful experience to the passengers as well.
"," Dec 04, 2019  ",4, 33 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
53,"This car is aggressive & beautiful in this segment. This car fully loaded with features.
"," Dec 04, 2019  ",5, 53 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
54,"Nice car with lot more features. Fully loaded with multiple features, the best features is the 360-degree camera.
"," Dec 04, 2019  ",5, 38 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
55,"It was the best experience for me. I enjoyed it thoroughly.
"," Dec 04, 2019  ",5, 32 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
56,"Best car in its segment. Excellent drivability, superb engine, amazing ergonomics, wonderful comfort, and humongous space. The car is a total package of comfort and performance. Seats are adjustable for both driver and front passenger side. Loads of legroom for the rear passengers. Excellent boot space. Better buy than Jeep Compass or Hyundai Creta...Read More"," Dec 04, 2019  ",5, 1324 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
57,"Features loaded car beyond expectations. Wonderful engine, superb interior with amazing quality, fabulous fit, and world-class finish.
"," Dec 04, 2019  ",5, 55 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
58,"Excellent car in this price as it gives great value and great comfort for long drives. Also, it is very spacious.
"," Dec 04, 2019  ",5, 49 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
59,"Kia Seltos is a very good car. It has new features with a triggered mileage. It's quite comfortable within the budget.
"," Dec 04, 2019  ",5, 50 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
60,"Best and fully loaded car. Kia Seltos is also the best value of money. This car is manageable and is luxurious.
"," Dec 03, 2019  ",4, 49 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
61,"Very nice SUV, a great combination of comfort, features, and style. Value for money car with luxury features, good handling, and great braking.
"," Dec 03, 2019  ",5, 44 Views,0,https://www.cardekho.com/kia/seltos/user-reviews/3,Kia
